/////////////////////
/// CORE ITEM DATA //
/////////////////////

//Start by parsing this in your map/dictionary to parse the other data.
//ID|Item Name|Rarity|Properties|Category|Base Color|Overlay Color|Hits to break|Growtime in seconds|Clothing Type (None if its not a clothing, specified in category)

0|Blank|1|NoSeed, Dropless, Beta, Mod, Untradable|Foreground_Block|690000|690000|4|31|None
1138|Martian Tree|2|0|Foreground_Block|541E71|228C92|3|68|None
1139|Martian Tree Seed|2|0|Seed|000000|000000|20|0|None
1140|Astronaut Pack|53|NoSeed|Clothing|E6E6E6|858585|0|150467|Back
1141|Astronaut Pack Seed|53|NoSeed|Seed|000000|000000|20|0|None
1142|Space Suit|50|NoSeed|Clothing|DBDBDB|BBBBBB|0|126500|Shirt
1143|Space Suit Seed|50|NoSeed|Seed|000000|000000|20|0|None
1144|Space Pants|74|NoSeed|Clothing|DBDBDB|BBBBBB|0|407444|Pants
1145|Space Pants Seed|74|NoSeed|Seed|000000|000000|20|0|None
1146|Moon Boots|60|NoSeed|Clothing|DBDBDB|BBBBBB|0|217800|Feet
1147|Moon Boots Seed|60|NoSeed|Seed|000000|000000|20|0|None
1148|Astronaut Helmet|82|NoSeed|Clothing|E4E4E4|866526|0|553828|Hair
1149|Astronaut Helmet Seed|82|NoSeed|Seed|000000|000000|20|0|None
1150|Zorbnik Leash|999|NoSeed, Dropless|Clothing|33AE22|FFE015|0|3600|Hand
1151|Zorbnik Leash Seed|999|NoSeed|Seed|000000|000000|20|0|None
1152|Zorbnik DNA|999|NoSeed, Dropless|Consummable|33AE22|FFE015|3|3600|None
1153|Zorbnik DNA Seed|999|NoSeed|Seed|000000|000000|20|0|None
1154|Space Connector|43|0|Background_Block|B5B5B5|585858|5|80797|None
1155|Space Connector Seed|43|0|Seed|000000|000000|20|0|None
1156|White Wallpaper|44|0|Background_Block|F6F6F6|FFFFFF|3|86504|None
1157|White Wallpaper Seed|44|0|Seed|000000|000000|20|0|None
1158|Black Wallpaper|42|0|Background_Block|222222|000000|3|75348|None
1159|Black Wallpaper Seed|42|0|Seed|000000|000000|20|0|None
1160|Porthole|49|0|Background_Block|F6F6F6|FFFFFF|5|119119|None
1161|Porthole Seed|49|0|Seed|000000|000000|20|0|None
1162|Forcefield|101|Wrenchable, NoSeed|Gateway|FE2BFF|FF80FF|5|1033331|None
1163|Forcefield Seed|101|NoSeed|Seed|000000|000000|20|0|None
1164|Compu Panel|95|0|Animated_Foreground_Block|E8E8E8|3A5B21|6|860225|None
1165|Compu Panel Seed|95|0|Seed|000000|000000|20|0|None
1166|Vampire Cape|101|NoSeed, Dropless|Clothing|141414|A40000|0|1033331|Back
1167|Vampire Cape Seed|101|NoSeed|Seed|000000|000000|20|0|None
1168|Slick Black Hair|35|NoSeed, Dropless|Clothing|000000|8A8A8A|0|43925|Hair
1169|Slick Black Hair Seed|35|NoSeed|Seed|000000|000000|20|0|None
1170|Vampire Fangs|80|NoSeed, Dropless|Clothing|FFFFFF|99C795|0|514400|Face
1171|Vampire Fangs Seed|80|NoSeed|Seed|000000|000000|20|0|None
1172|Vamp Vest|40|NoSeed, Dropless|Clothing|A9A9A9|EAB412|0|65200|Shirt
1173|Vamp Vest Seed|40|NoSeed|Seed|000000|000000|20|0|None
1174|Rollback Plaque II|1|NoSeed, Dropless|Foreground_Block|D8C9E8|936DBF|10|31|None
1175|Rollback Plaque II Seed|1|NoSeed|Seed|000000|000000|20|0|None
1176|Aimster's Nightmare|999|NoSeed, Dropless, Untradable|Clothing|101010|FF621D|0|3600|Feet
1177|Aimster's Nightmare Seed|999|NoSeed|Seed|000000|000000|20|0|None
1178|Skeletal Horsie|999|NoSeed, Dropless|Clothing|FAFAFA|D2D2D2|0|3600|Feet
1179|Skeletal Horsie Seed|999|NoSeed|Seed|000000|000000|20|0|None
1180|Spiritual Resonator|999|NoSeed, Dropless|Clothing|B8E0C2|FE19FF|0|3600|Hat
1181|Spiritual Resonator Seed|999|NoSeed|Seed|000000|000000|20|0|None
1182|Hockey Mask|70|NoSeed, Dropless|Clothing|D0D0D0|B85F60|0|345100|Face
1183|Hockey Mask Seed|70|NoSeed|Seed|000000|000000|20|0|None
1184|Mummy Mask|70|NoSeed, Dropless|Clothing|DBDBDB|AEAEAE|0|345100|Face
1185|Mummy Mask Seed|70|NoSeed|Seed|000000|000000|20|0|None
1186|Skull Mask|70|NoSeed, Dropless|Clothing|ADC2B7|3E4441|0|345100|Face
1187|Skull Mask Seed|70|NoSeed|Seed|000000|000000|20|0|None
1188|Wolfman Mask|70|NoSeed, Dropless|Clothing|68523E|1B1B1B|0|345100|Hair
1189|Wolfman Mask Seed|70|NoSeed|Seed|000000|000000|20|0|None
1190|Black Cat Leash|999|NoSeed, Dropless|Clothing|21222A|9F152B|0|3600|Hand
1191|Black Cat Leash Seed|999|NoSeed|Seed|000000|000000|20|0|None
1192|Creepy Hair|50|NoSeed, Dropless, Foreground|Clothing|21222A|000000|0|126500|Hair
1193|Creepy Hair Seed|50|NoSeed|Seed|000000|000000|20|0|None
1194|Haunted House|50|NoSeed, Dropless|Background_Block|313628|514831|6|126500|None
1195|Haunted House Seed|50|NoSeed|Seed|000000|000000|20|0|None
1196|Jack O' Lantern|60|MultiFacing, Wrenchable, NoSeed, Dropless|Toggleable_Foreground|E4711E|FFFD0F|10|217800|None
1197|Jack O' Lantern Seed|60|NoSeed|Seed|000000|000000|20|0|None
1198|Pumpkin Block|10|NoSeed, Dropless|Foreground_Block|C9651D|391E0B|5|1300|None
1199|Pumpkin Block Seed|10|NoSeed|Seed|000000|000000|20|0|None
1200|Jack O' Block|15|NoSeed, Dropless|Foreground_Block|C9651D|391E0B|5|3825|None
1201|Jack O' Block Seed|15|NoSeed|Seed|000000|000000|20|0|None
1202|Lit Jack O' Block|25|NoSeed, Dropless|Foreground_Block|C9651D|FFFF0F|5|16375|None
1203|Lit Jack O' Block Seed|25|NoSeed|Seed|000000|000000|20|0|None
1204|Focused Eyes|999|NoSeed, Dropless, Untradable|Clothing|FFFFFF|44DAFF|0|3600|Face
1205|Focused Eyes Seed|999|NoSeed|Seed|000000|000000|20|0|None
1206|Devil Wings|999|NoSeed, Dropless|Clothing|FA191A|3B1111|0|3600|Back
1207|Devil Wings Seed|999|NoSeed|Seed|000000|000000|20|0|None
1208|Candy Corn|1|NoSeed, Dropless|Consummable|FFE015|FF6D15|3|31|None
1209|Candy Corn Seed|1|NoSeed|Seed|000000|000000|20|0|None
1210|Weather Machine - Spooky|999|NoSeed, Permanent, Dropless, AutoPickup|Weather_Machine|83ABD9|0E3527|10|3600|None
1211|Weather Machine - Spooky Seed|999|NoSeed|Seed|000000|000000|20|0|None
1212|Lock of Black Fur|999|NoSeed, Dropless|Consummable|0B0B0B|000000|3|3600|None
1213|Lock of Black Fur Seed|999|NoSeed|Seed|000000|000000|20|0|None
1214|Familiar Leash|999|NoSeed, Dropless|Clothing|21222A|395B09|0|3600|Hand
1215|Familiar Leash Seed|999|NoSeed|Seed|000000|000000|20|0|None
1216|Cultist Hood|90|NoSeed, Dropless, Foreground|Clothing|38135D|D9C01B|0|731700|Hair
1217|Cultist Hood Seed|90|NoSeed|Seed|000000|000000|20|0|None
1218|Cultist Robe|90|NoSeed, Dropless|Clothing|38135D|D9C01B|0|731700|Shirt
1219|Cultist Robe Seed|90|NoSeed|Seed|000000|000000|20|0|None
1220|Sigil Of K'Tesh|20|NoSeed, Dropless|Consummable|F0C516|40815F|3|8600|None
1221|Sigil Of K'Tesh Seed|20|NoSeed|Seed|000000|000000|20|0|None
1222|Creepstone Platform|10|NoSeed, Dropless|Platform|21CCCF|218472|3|1300|None
1223|Creepstone Platform Seed|10|NoSeed|Seed|000000|000000|20|0|None
1224|Disabled Platform|999|NoSeed, Dropless, NoShadow, Mod|Foreground_Block|21CCCF|218472|3|3600|None
1225|Disabled Platform Seed|999|NoSeed, Mod|Seed|000000|000000|20|0|None
1226|Evil Eye|55|NoSeed, Dropless|Toggleable_Deadly_Block|FFFFFF|871315|6|168025|None
1227|Evil Eye Seed|55|NoSeed|Seed|000000|000000|20|0|None
1228|Green Dragon Mask|999|NoSeed, Dropless, Untradable|Clothing|0D7900|B6A300|0|3600|Hair
1229|Green Dragon Mask Seed|999|NoSeed|Seed|000000|000000|20|0|None
1230|Frankenhair|45|NoSeed, Dropless|Clothing|343434|D2D2D2|0|92475|Hair
1231|Frankenhair Seed|45|NoSeed|Seed|000000|000000|20|0|None
1232|Sonar Bracelet|999|NoSeed, Dropless|Clothing|21304B|06080C|0|3600|Hand
1233|Sonar Bracelet Seed|999|NoSeed|Seed|000000|000000|20|0|None
1234|Devil Wing Fragment|999|NoSeed, Dropless|Consummable|FA191A|3B1111|3|3600|None
1235|Devil Wing Fragment Seed|999|NoSeed|Seed|000000|000000|20|0|None
1236|Boney Block|65|NoSeed, Dropless|Foreground_Block|DDDDDD|383838|6|276575|None
1237|Boney Block Seed|65|NoSeed|Seed|000000|000000|20|0|None
1238|Cobweb|30|NoSeed, Dropless, NoShadow, Foreground|Foreground_Block|FFFFFF|FFFFFF|3|27900|None
1239|Cobweb Seed|30|NoSeed|Seed|000000|000000|20|0|None
1240|Heart Monitor|999|MultiFacing, NoSeed, Permanent, Dropless, AutoPickup|Heart_Monitor|FFFFFF|FFFFFF|8|3600|None
1241|Heart Monitor Seed|999|NoSeed|Seed|000000|000000|20|0|None
1242|Scrub Cap|999|NoSeed|Clothing|E4E4E4|B81414|0|3600|Hat
1243|Scrub Cap Seed|999|NoSeed|Seed|000000|000000|20|0|None
1244|Scrub Mask|999|NoSeed|Clothing|AED6C8|97C9B8|0|3600|Face
1245|Scrub Mask Seed|999|NoSeed|Seed|000000|000000|20|0|None
1246|Scrub Top|999|NoSeed|Clothing|AED6C8|97C9B8|0|3600|Shirt
1247|Scrub Top Seed|999|NoSeed|Seed|000000|000000|20|0|None
1248|Scrub Pants|999|NoSeed|Clothing|AED6C8|97C9B8|0|3600|Pants
1249|Scrub Pants Seed|999|NoSeed|Seed|000000|000000|20|0|None
1250|Bride Of Reanimator Remote|200|NoSeed, Dropless|Clothing|49A699|8E2398|0|8006000|Hand
1251|Bride Of Reanimator Remote Seed|200|NoSeed|Seed|000000|000000|20|0|None
1252|Magnifying Glass|999|NoSeed|Clothing|D11819|E66112|0|3600|Hand
1253|Magnifying Glass Seed|999|NoSeed|Seed|000000|000000|20|0|None
1254|Retro Magnifying Glass|999|NoSeed|Clothing|D11819|222222|0|3600|Hand
1255|Retro Magnifying Glass Seed|999|NoSeed|Seed|000000|000000|20|0|None
1256|Hospital Bed|31|MultiFacing|Foreground_Block|6F8480|7BD7AA|5|30721|None
1257|Hospital Bed Seed|31|0|Seed|000000|000000|20|0|None
1258|Surgical Sponge|83|RandomGrow|Component|9C9C9C|EFCC29|4|574277|None
1259|Surgical Sponge Seed|83|RandomGrow|Seed|000000|000000|20|0|None
1260|Surgical Scalpel|83|RandomGrow|Component|9C9C9C|FFFFFF|4|574277|None
1261|Surgical Scalpel Seed|83|RandomGrow|Seed|000000|000000|20|0|None
1262|Surgical Anesthetic|83|RandomGrow|Component|9C9C9C|7BB26A|4|574277|None
1263|Surgical Anesthetic Seed|83|RandomGrow|Seed|000000|000000|20|0|None
1264|Surgical Antiseptic|83|RandomGrow|Component|9C9C9C|614433|4|574277|None
1265|Surgical Antiseptic Seed|83|RandomGrow|Seed|000000|000000|20|0|None
1266|Surgical Antibiotics|83|RandomGrow|Component|9C9C9C|B55D2D|4|574277|None
1267|Surgical Antibiotics Seed|83|RandomGrow|Seed|000000|000000|20|0|None
1268|Surgical Splint|83|RandomGrow|Component|9C9C9C|CCAA98|4|574277|None
1269|Surgical Splint Seed|83|RandomGrow|Seed|000000|000000|20|0|None
1270|Surgical Stitches|83|RandomGrow|Component|9C9C9C|EEAC88|4|574277|None
1271|Surgical Stitches Seed|83|RandomGrow|Seed|000000|000000|20|0|None
1272|Ambulance|999|NoSeed, Permanent, Dropless|Clothing|E2E2E2|F74141|0|3600|Feet
1273|Ambulance Seed|999|NoSeed|Seed|000000|000000|20|0|None
1274|Edison Zoomster|999|NoSeed, Dropless|Clothing|F52B2B|262626|0|3600|Feet
1275|Edison Zoomster Seed|999|NoSeed|Seed|000000|000000|20|0|None
1276|Punch Jammer|999|Wrenchable, Permanent, AutoPickup|Toggleable_Foreground|A0A0A0|8A8A8A|30|3600|None
1277|Punch Jammer Seed|999|0|Seed|000000|000000|20|0|None
1278|Zombie Jammer|999|Wrenchable, Permanent, AutoPickup|Toggleable_Foreground|A0A0A0|8A8A8A|30|3600|None
1279|Zombie Jammer Seed|999|0|Seed|000000|000000|20|0|None
1280|Birth Certificate|999|NoSeed, Dropless|Consummable|C6D2D5|68838C|3|3600|None
1281|Birth Certificate Seed|999|NoSeed|Seed|000000|000000|20|0|None
1282|Candy Striper Cap|999|NoSeed|Clothing|BD3401|8FC114|0|3600|Hair
1283|Candy Striper Cap Seed|999|NoSeed|Seed|000000|000000|20|0|None
1284|Candy Striper Uniform|999|NoSeed|Clothing|F1F1F1|EA9A9A|0|3600|Shirt
1285|Candy Striper Uniform Seed|999|NoSeed|Seed|000000|000000|20|0|None
1286|Candy Striper Skirt|999|NoSeed|Clothing|F1F1F1|EA9A9A|0|3600|Pants
1287|Candy Striper Skirt Seed|999|NoSeed|Seed|000000|000000|20|0|None
1288|Hospital Curtain|999|NoSeed, Dropless, Foreground|Foreground_Block|7BD7AA|647B71|3|3600|None
1289|Hospital Curtain Seed|999|NoSeed|Seed|000000|000000|20|0|None
1290|Hospital Wall|999|NoSeed, Dropless|Background_Block|E9E4B7|E9E4B7|3|3600|None
1291|Hospital Wall Seed|999|NoSeed|Seed|000000|000000|20|0|None
1292|Hospital Window|999|NoSeed, Dropless|Background_Block|E9E4B7|6A9EC4|3|3600|None
1293|Hospital Window Seed|999|NoSeed|Seed|000000|000000|20|0|None
1294|Hospital Door|999|Wrenchable, NoSeed, Dropless, NoShadow|Door|A48239|9E9E9E|5|3600|None
1295|Hospital Door Seed|999|NoSeed|Seed|000000|000000|20|0|None
1296|Surgical Gloves|999|NoSeed, Dropless, Beta, Mod|Component|9C9C9C|B55D2D|4|3600|None
1297|Surgical Gloves Seed|999|NoSeed, Mod|Seed|000000|000000|20|0|None
1298|Cutaway Building|23|0|Foreground_Block|BBBBBB|000000|3|12857|None
1299|Cutaway Building Seed|23|0|Seed|000000|000000|20|0|None
1300|Roshambo Block|71|Wrenchable|Random_Block|CDD8D6|5C7470|10|360041|None
1301|Roshambo Block Seed|71|0|Seed|000000|000000|20|0|None
1302|Cow Cube|98|MultiFacing|Animated_Foreground_Block|CAC4BA|966336|6|944132|None
1303|Cow Cube Seed|98|0|Seed|000000|000000|20|0|None
1304|Staircase|12|MultiFacing|Platform|AD8E59|5A4536|3|2088|None
1305|Staircase Seed|12|0|Seed|000000|000000|20|0|None
1306|Terracotta Pot|3|0|Foreground_Block|C1906D|CFA17F|6|117|None
1307|Terracotta Pot Seed|3|0|Seed|000000|000000|20|0|None
1308|Climbing Vine|30|0|Platform|174218|2A822A|3|27900|None
1309|Climbing Vine Seed|30|0|Seed|000000|000000|20|0|None
1310|Thingamajig|155|0|Component|AEAEAE|CFA17F|6|3728525|None
1311|Thingamajig Seed|155|0|Seed|000000|000000|20|0|None
1312|Bushy Beard|41|NoSeed|Clothing|3C281E|2A1D16|0|70151|Face
1313|Bushy Beard Seed|41|NoSeed|Seed|000000|000000|20|0|None
1314|Ponytail|40|NoSeed|Clothing|1C1612|8F8337|0|65200|Hair
1315|Ponytail Seed|40|NoSeed|Seed|000000|000000|20|0|None
1316|Happy Sun Shirt|42|NoSeed|Clothing|DA6508|FFC20B|0|75348|Shirt
1317|Happy Sun Shirt Seed|42|NoSeed|Seed|000000|000000|20|0|None
1318|Blue Sun Shirt|42|NoSeed|Clothing|55573F|252F3D|0|75348|Shirt
1319|Blue Sun Shirt Seed|42|NoSeed|Seed|000000|000000|20|0|None
1320|Riding Raptor|999|NoSeed, Permanent, Dropless|Clothing|2F6E2C|C9D127|0|3600|Feet
1321|Riding Raptor Seed|999|NoSeed|Seed|000000|000000|20|0|None
1322|Cliffside|4|0|Background_Block|613915|2D1D0B|3|184|None
1323|Cliffside Seed|4|0|Seed|000000|000000|20|0|None
1324|Rock Platform|5|0|Platform|FFA039|5F3511|3|275|None
1325|Rock Platform Seed|5|0|Seed|000000|000000|20|0|None
1326|Cave Entrance|44|Wrenchable, NoShadow|Door|000000|2D1D0B|5|86504|None
1327|Cave Entrance Seed|44|0|Seed|000000|000000|20|0|None
1328|Prehistoric Palm|45|0|Foreground_Block|8F5137|2A822A|10|92475|None
1329|Prehistoric Palm Seed|45|0|Seed|000000|000000|20|0|None
1330|Caveman Club|55|NoSeed|Clothing|BFA481|AC906C|0|168025|Hand
1331|Caveman Club Seed|55|NoSeed|Seed|000000|000000|20|0|None
1332|Sabertooth-Skin Toga|25|NoSeed|Clothing|C86116|553C2D|0|16375|Shirt
1333|Sabertooth-Skin Toga Seed|25|NoSeed|Seed|000000|000000|20|0|None
1334|Caveman Hair|75|NoSeed|Clothing|30251C|EDEDED|0|424125|Hair
1335|Caveman Hair Seed|75|NoSeed|Seed|000000|000000|20|0|None
1336|Sabertooth Growtopian|999|NoSeed|Clothing|FFFFFF|C21622|0|3600|Face
1337|Sabertooth Growtopian Seed|999|NoSeed|Seed|000000|000000|20|0|None
1338|Cavewoman Hair|75|NoSeed|Clothing|30251C|EDEDED|0|424125|Hair
1339|Cavewoman Hair Seed|75|NoSeed|Seed|000000|000000|20|0|None
1340|Fuzzy Bikini Top|24|NoSeed|Clothing|AC8E70|B99C7F|0|14544|Shirt
1341|Fuzzy Bikini Top Seed|24|NoSeed|Seed|000000|000000|20|0|None
1342|Fuzzy Bikini Bottom|34|NoSeed|Clothing|AC8E70|B99C7F|0|40324|Pants
1343|Fuzzy Bikini Bottom Seed|34|NoSeed|Seed|000000|000000|20|0|None
1344|Ice Cube|128|0|Slippery_Block|8FB0D1|FFFFFF|5|2100992|None
1345|Ice Cube Seed|128|0|Seed|000000|000000|20|0|None
1346|Frozen DNA Fragment A|146|0|Slippery_Block|8FB0D1|7CF099|5|3116516|None
1347|Frozen DNA Fragment A Seed|146|0|Seed|000000|000000|20|0|None
1348|Frozen DNA Fragment B|217|0|Slippery_Block|8FB0D1|FFCACD|5|10224823|None
1349|Frozen DNA Fragment B Seed|217|0|Seed|000000|000000|20|0|None
1350|Mini Mammoth Leash|363|NoSeed|Clothing|D11819|222222|0|47843037|Hand
1351|Mini Mammoth Leash Seed|363|NoSeed|Seed|000000|000000|20|0|None
1352|Whatchamacallit|194|0|Component|AEAEAE|1C4594|6|7307204|None
1353|Whatchamacallit Seed|194|0|Seed|000000|000000|20|0|None
1354|Kerjigger|999|NoSeed, Dropless|Component|AEAEAE|CD764B|6|3600|None
1355|Kerjigger Seed|999|NoSeed|Seed|000000|000000|20|0|None
1356|Snowy Rocks|31|Holiday|Foreground_Block|9E9E9E|FFFFFF|4|30721|None
1357|Snowy Rocks Seed|31|Holiday|Seed|000000|000000|20|0|None
1358|Candy Cane Block|14|NoSeed, Dropless, Holiday|Foreground_Block|F1F1F1|DD515E|4|3164|None
1359|Candy Cane Block Seed|14|NoSeed, Holiday|Seed|000000|000000|20|0|None
1360|Winter Gift|999|NoSeed, Dropless, Holiday|Consummable|DF1939|16DA10|3|3600|None
1361|Winter Gift Seed|999|NoSeed, Holiday|Seed|000000|000000|20|0|None
1362|Candy Cane Fence|48|NoSeed, Dropless, Foreground, Holiday|Foreground_Block|F1F1F1|DD515E|3|112032|None
1363|Candy Cane Fence Seed|48|NoSeed, Holiday|Seed|000000|000000|20|0|None
1364|Weather Machine - Snowy|999|NoSeed, Permanent, Dropless, AutoPickup, Holiday|Weather_Machine|83ABD9|8D81DD|10|3600|None
1365|Weather Machine - Snowy Seed|999|NoSeed, Holiday|Seed|000000|000000|20|0|None
1366|Dumb Friend|999|NoSeed, Dropless, Beta, Mod|Component|09AF7C|9AD048|1|3600|None
1367|Dumb Friend Seed|999|0|Seed|000000|000000|20|0|None
1368|Snowball|42|NoSeed, Dropless, Holiday|Consummable|D2D2D2|FFFFFF|3|75348|None
1369|Snowball Seed|42|NoSeed, Holiday|Seed|000000|000000|20|0|None
1370|Festivus Pole|46|NoSeed, Dropless, Holiday|Foreground_Block|9C9C9C|C1906D|3|98716|None
1371|Festivus Pole Seed|46|NoSeed, Holiday|Seed|000000|000000|20|0|None
1372|Giant Candle|33|NoSeed, Dropless, Holiday|Foreground_Block|DBDBDB|FFB21D|3|36927|None
1373|Giant Candle Seed|33|NoSeed, Holiday|Seed|000000|000000|20|0|None
1374|Tangyuan|15|NoSeed, Dropless, Holiday|Consummable|E8E8E8|71ED57|3|3825|None
1375|Tangyuan Seed|15|NoSeed, Holiday|Seed|000000|000000|20|0|None
1376|Yeonnalligi|162|NoSeed, Dropless, Holiday|Clothing|D11819|222222|0|4256388|Hand
1377|Yeonnalligi Seed|162|NoSeed, Holiday|Seed|000000|000000|20|0|None
1378|Ice Dragon Hand|999|NoSeed, Dropless, Holiday|Clothing|4BD1AD|6DD8FF|0|3600|Hand
1379|Ice Dragon Hand Seed|999|NoSeed, Holiday|Seed|000000|000000|20|0|None
1380|Elf Hat|10|NoSeed, Dropless, Holiday|Clothing|359634|EFEFEF|0|1300|Hat
1381|Elf Hat Seed|10|NoSeed, Holiday|Seed|000000|000000|20|0|None
1382|Antler Hat|36|NoSeed, Dropless, Holiday|Clothing|B8342E|BCB2A8|0|47736|Hat
1383|Antler Hat Seed|36|NoSeed, Holiday|Seed|000000|000000|20|0|None
1384|Glowing Nose|50|NoSeed, Dropless, Holiday|Clothing|FF2015|FFADA9|0|126500|Face
1385|Glowing Nose Seed|50|NoSeed, Holiday|Seed|000000|000000|20|0|None
1386|Buckskin Hood|49|NoSeed, Dropless, Holiday|Clothing|936B4B|F4F4F4|0|119119|Hair
1387|Buckskin Hood Seed|49|NoSeed, Holiday|Seed|000000|000000|20|0|None
1388|Buckskin Jacket|55|NoSeed, Dropless, Holiday|Clothing|AB764F|F4F4F4|0|168025|Shirt
1389|Buckskin Jacket Seed|55|NoSeed, Holiday|Seed|000000|000000|20|0|None
1390|Holiday Gift Box|150|Wrenchable, NoSeed, Dropless, Holiday|Donation_Box|1D51CD|C8C8C8|15|3379500|None
1391|Holiday Gift Box Seed|150|NoSeed, Holiday|Seed|000000|000000|20|0|None
1392|Buckskin Pants|48|NoSeed, Dropless, Holiday|Clothing|936B4B|F4F4F4|0|112032|Pants
1393|Buckskin Pants Seed|48|NoSeed, Holiday|Seed|000000|000000|20|0|None
1394|Polar Bear Leash|999|NoSeed, Dropless, Holiday|Clothing|FFFFFF|000000|0|3600|Hand
1395|Polar Bear Leash Seed|999|NoSeed, Holiday|Seed|000000|000000|20|0|None
1396|Doohickey|999|0|Component|AEAEAE|CD764B|6|3600|None
1397|Doohickey Seed|999|0|Seed|000000|000000|20|0|None
1398|Inviso-Block|1|NoSeed, Dropless, Mod|Foreground_Block|FFFF00|FF0000|2|31|None
1399|Inviso-Block Seed|1|NoSeed, Mod|Seed|000000|000000|20|0|None
1400|Mini Growtopian|999|NoSeed, Dropless|Clothing|C6A08C|6AC441|0|3600|Hand
1401|Mini Growtopian Seed|999|NoSeed|Seed|000000|000000|20|0|None
1402|Thermonuclear Blast|999|NoSeed, Dropless|Consummable|DA1FFF|4FA5E3|3|3600|None
1403|Thermonuclear Blast Seed|999|NoSeed|Seed|000000|000000|20|0|None
1404|Door Mover|999|NoSeed, Dropless|Consummable|DBDBDB|F6C606|3|3600|None
1405|Door Mover Seed|999|NoSeed|Seed|000000|000000|20|0|None
1406|Skyrocket|999|NoSeed, Dropless|Consummable|F30000|ECECEC|3|3600|None
1407|Skyrocket Seed|999|NoSeed|Seed|000000|000000|20|0|None
1408|Party Pants|999|NoSeed, Dropless|Clothing|FF0BE9|FFD90B|0|3600|Pants
1409|Party Pants Seed|999|NoSeed|Seed|000000|000000|20|0|None
1410|Party Vest|999|NoSeed, Dropless|Clothing|FFD90B|FF0BE9|0|3600|Shirt
1411|Party Vest Seed|999|NoSeed|Seed|000000|000000|20|0|None
1412|Party Hat|999|NoSeed, Dropless|Clothing|FFD90B|04EC48|0|3600|Hat
1413|Party Hat Seed|999|NoSeed|Seed|000000|000000|20|0|None
1414|Party Horn|999|NoSeed, Dropless|Clothing|57FF0B|FFD90B|0|3600|Face
1415|Party Horn Seed|999|NoSeed|Seed|000000|000000|20|0|None
1416|Party Socks|999|NoSeed, Dropless|Clothing|FF0BDF|57FF0B|0|3600|Feet
1417|Party Socks Seed|999|NoSeed|Seed|000000|000000|20|0|None
1418|Party Glasses|999|NoSeed, Dropless|Clothing|FFD90B|FF0BDF|0|3600|Face
1419|Party Glasses Seed|999|NoSeed|Seed|000000|000000|20|0|None
1420|Mannequin|83|MultiFacing, Wrenchable|Mannequin|B4B4B4|C8C8C8|15|574277|None
1421|Mannequin Seed|83|0|Seed|000000|000000|20|0|None
1422|Display Box|45|Foreground|Foreground_Block|86D7EC|F1D227|6|92475|None
1423|Display Box Seed|45|0|Seed|000000|000000|20|0|None
1424|World Key|999|NoSeed, Dropless|Component|F1D227|FFF7C9|2|3600|None
1425|World Key Seed|999|NoSeed|Seed|000000|000000|20|0|None
1426|For Sale Sign|19|Wrenchable|Sign|F30000|ECECEC|6|7429|None
1427|For Sale Sign Seed|19|0|Seed|000000|000000|20|0|None
1428|Gem Sign|21|Wrenchable|Sign|FFFFFF|FFEA07|6|9891|None
1429|Gem Sign Seed|21|0|Seed|000000|000000|20|0|None
1430|Shop Sign|30|Wrenchable|Sign|BFD2E8|FFED9D|6|27900|None
1431|Shop Sign Seed|30|0|Seed|000000|000000|20|0|None
1432|Exclamation Sign|9|Wrenchable|Sign|FFFFFF|ED1415|6|999|None
1433|Exclamation Sign Seed|9|0|Seed|000000|000000|20|0|None
1434|Cash Register|52|MultiFacing|SFX_Foreground|C0C0C0|2CC624|12|142168|None
1435|Cash Register Seed|52|0|Seed|000000|000000|20|0|None
1436|Security Camera|999|MultiFacing, Wrenchable, Permanent, AutoPickup|Security_Camera|C0C0C0|2CC624|12|3600|None
1437|Security Camera Seed|999|0|Seed|000000|000000|20|0|None
1438|Golden Pickaxe|999|NoSeed, Dropless, Untradable|Clothing|FFD426|E1FCE3|0|3600|Hand
1439|Golden Pickaxe Seed|999|NoSeed|Seed|000000|000000|20|0|None
1440|Evil Space Helmet|999|NoSeed, Dropless, Untradable|Clothing|000000|0C3657|0|3600|Hair
1441|Evil Space Helmet Seed|999|NoSeed|Seed|000000|000000|20|0|None
1442|Burning Face|999|NoSeed, Dropless, Untradable|Clothing|AEF6FF|0098AE|0|3600|Hat
1443|Burning Face Seed|999|NoSeed|Seed|000000|000000|20|0|None
1444|Frosty Hair|999|NoSeed, Dropless, Untradable|Clothing|ADF6FF|FFFFFF|0|3600|Hair
1445|Frosty Hair Seed|999|NoSeed|Seed|000000|000000|20|0|None
1446|Open Sign|59|Wrenchable|Switch_Block|E2E2E2|3A8FDA|4|207149|None
1447|Open Sign Seed|59|0|Seed|000000|000000|20|0|None
1448|Television|29|MultiFacing, Wrenchable|Toggleable_Foreground|7A4A24|E4E4E4|10|25259|None
1449|Television Seed|29|0|Seed|000000|000000|20|0|None
1450|Couch|41|MultiFacing|Foreground_Block|8AB4D6|6095C0|5|70151|None
1451|Couch Seed|41|0|Seed|000000|000000|20|0|None
1452|Donation Box|65|Wrenchable|Donation_Box|4780AD|FFE221|15|276575|None
1453|Donation Box Seed|65|0|Seed|000000|000000|20|0|None
1454|Meaty Apron|65|NoSeed|Clothing|F4E370|D6A88A|0|276575|Chest
